[0628/091426.524:INFO:CONSOLE(1)] "Long rAF frame-time", source: file:///C:/Program%20Files/Adobe/Adobe%20Photoshop%202020/Required/www-rich-tooltips/build/external.js (1)
[0628/102923.393:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/102928.409:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/102933.519:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/115418.835:ERROR:dns_config_service_win.cc(754)] DNS config watch failed.
[0628/130644.381:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/130645.821:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/131058.499:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/131103.712:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/131109.165:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/131114.502:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/133333.218:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0628/133333.371:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
